review_id,username,rating,review_text,date,sentiment
d99210ae-f5da-4de0-bc43-d16b480a5537,Krisna Bayu,1,"mode pembayarannya terbatas, tolong dong di perluas lagi",2024-01-09 14:17:50,negative
0b6f5b06-85fb-4572-8399-e04df75ff304,norma dwi puspita,1,"Kalau misalkan aplikasi tidak dipakai, lebih baik di nonaktifkan saja di playstore. Menyusahkan saja. Tidak ada pemberitahuan juga",2024-01-09 11:44:32,negative
edfdbae4-391c-4b53-a772-594643b390e7,Di Di,1,"Aplikasi sangat merugikan, lebih dari 5 kali dengan kasus yg sama ketika saat melakukan pembayaran melalui isaku seperti terjadi trouble dan gagal sehingga saya mengetik ulang dan melakukan pembayaran lg, alhasil sy beli 2 tiket yg sma padahal yg pertama trauble.rugi bnget si. Akan saya uninstall sih.gak berguna",2024-01-09 08:16:56,negative
3fe057c3-71a1-4752-bab4-e1a8b2be6dbf,Ridho Nur Hidayat,1,Metode pembayaran terbatas. Bikin males.,2024-01-04 05:22:04,negative
c8a638b6-b6f9-4988-b07a-494674363d7f,muhamad rohmani,1,Gila nyusahin. Aplikasi sampah ga guna,2024-01-02 12:16:50,negative
b27cdc76-d7ca-4b41-8c4f-3e6945d7dad7,Tuan Rahmat,1,"Instal langsung delete, opsi pembayaran kurang banyak",2023-12-31 12:00:24,negative
946cf169-a06a-4368-93a2-1083d9a71aa6,Sulistiono 86,1,Pembayaran sekarang ribet. Ga bsa pake dana.,2023-12-31 10:18:00,negative
9a69f4f5-45a1-470b-a39e-2f2bb63f2026,doncandraa,3,Moda Raya Terpadu Jakarta,2023-12-28 11:18:46,neutral
43f74d6f-c147-4082-96d8-e2d9d6fba180,Honey Queen,1,"Top up nya g lengkap, g bs pke e wallet laen",2023-12-23 06:44:53,negative
97d3158f-931b-48e9-a196-6a03db973364,Purna Yudha,2,Aplikasi nya parah jelek bgt. sering bgt tiap bulan perbarui aplikasi gk bisa di akses nya sering bgt,2023-12-13 03:12:26,negative
efd65dbc-b7fa-4cd2-b09e-b0a24ad2bfd3,Putra Pw,1,Setelah update malah metode pembayaran nya cuma 2 opsi ewallet dan 1 bank.. Mana g umum tuh ewallet nya.. Ayolah tambahin.. Malah males naik mrt,2023-12-09 11:35:49,negative
7183c1b8-7971-4706-abed-66e621301490,Muhammad Ariq Muafan,3,"Opsi pembayaran kini malah tambah dikit, harusnya bisa gopay, ovo, shopee, debit, kredit, cash (biasanya lwt indo/alfa), atau VA.",2023-12-05 11:31:36,neutral
3390883c-5a33-4794-8c94-cf0ad963101d,We Are One,1,"Ketika diinstall kembali, ternyata pilihan pembayaran sangat sedikit dan tidak familiar jadi uninstall kembali. Mohon metode pembayaran seperti dahulu yang mana sangat bervariasi.",2023-12-03 11:21:07,negative
d84dfd35-a6ba-4139-8b45-69e56f5981b2,Bian Adhi Prasetyo,1,Bodooh bodoooh.. buat bayar aja susaaaah...,2023-12-03 05:31:48,negative
a40ffa91-c820-4598-aa99-9c33c1eaf935,Nabila Kamelia,1,gak bisa di akses.,2023-12-03 00:29:31,negative
3e76da02-0636-4728-aee5-141d26ed3cea,uray mega,5,bagus,2023-11-27 10:50:37,positive
ca280857-6ef4-4c39-8f38-54d6141c2c55,Hanya Sebuah Nama,1,Metode pembayaran kurang update,2023-11-25 20:48:03,negative
481d4d66-1457-4a75-8137-e73ebf1881f1,DR FAJAR SH SE MK AKMIL AKPOL S.I.K,5,Sangat berguna bagi rakyat,2023-11-24 22:42:04,positive
8ee898d1-91fe-4c5a-add2-ad5a27d66f4a,Anis Bonitasari Ikromina,1,Cara pembayaran sangat terbatas,2023-11-23 12:47:09,negative
2a5ba2a9-419b-493b-a13c-00a365027054,shafa fatikhatur rahma,1,"Sudah gabisa pake dana lagi dibuat untuk memudahkan, tetapi sekarang malah makin menyulitkan, tolong adakan lagi metode pembayaran E-wallet lainnya",2023-11-22 10:16:18,negative
725a0aa3-fb28-40b3-ab0b-bd161cc448cf,Darma Putra,1,Aplikasi pegembang apaannnn,2023-11-11 07:42:38,negative
6bd87002-1edd-4572-990f-c69e9698e6b3,raraindira 1403,1,"Hari ini tgl 07/11/23 jam 07.45 error lagi pembayaran dengan metode i-saku, tolonglah di perbaiki. Eror di pagi hari sangat merugikan pengguna.",2023-11-07 00:47:59,negative
8bee848a-6f8f-4828-889e-a24d82808ff9,Lintang Amru,2,"Kocak ga bisa bayar pake ovo,dana,gopay lagi bukannya mempermudah malah memper sulit",2023-11-06 10:58:02,negative
b0a04d25-b51d-4d93-8842-ff958e18c5ca,evi kurniawati,2,"Uninstalllll ! Makin susah buat topup dan pembayaran, cuman bisa 3 ewallet yg gak tenar. Jarang banget orang pakai astrapay sama isaku. Jaman makin maju tp MRT malah makin mundur. Harusnya pembayaran bisa pakai TF bank dan e wallet populer seperti gopay, ovo, shopeepay. Harusnya semuanya dibuat untuk memudahkan orang, bukan malah mempersulit.",2023-11-06 02:13:32,negative
9109c2b2-fd92-4cff-9814-9e29d78a15e2,Endog Asin,5,ok,2023-11-01 13:49:12,positive
36d80d09-5bec-4ea3-b510-d3e3efc8ec34,eva komala,5,ISTRI Wedding,2023-10-28 03:13:28,positive
5887b565-d63a-445a-98ec-b84f7a0ce789,poemdth,3,"Proses pembayaran sering error, pernah masalahnya akun ewallet saya terhubung dengan akun lain (padahal gak pernah pake isaku atau astrapay di akun lain) pernah juga gagal lakukan pembayaran dengan notif ""pembayaran menggunakan tix id error"" lah kok tiba2 tix id sih. Random amat. Setelah coba sekali lagi, berhasil, tapi tiket yg saya pesan malah jadi double entah gimana ceritanya, dan gak bisa dibatalkan. Mantap.",2023-10-24 04:54:42,neutral
4230b5a7-618e-495b-9081-61ea31253b8e,Hansen,1,Aplikasi jelek tidak bisa di pakai,2023-10-22 10:15:53,negative
7ecd4e0f-cb5c-4f97-8fad-6abc70e0025f,Widianto Darmawan,1,makin updat makin aneh ini aplikasi metode pembayarannya yang praktis digunakan malah dihapus,2023-10-19 03:13:33,negative
0691ce13-2563-4df6-8ca0-bada395bdd6d,hana,1,"kenapa ga bisa top up pakai qris, dana, atau gopay? sangat bikin ribet, tolong jangkauannya harus luas ya terimakasih",2023-10-16 03:38:51,negative
